service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
T2-1807Z,0,0,1,0,0,0,1,20210516,20210714
T2-190AV,1,1,1,1,1,0,0,20210517,20210709
T2-1806M,0,0,0,0,0,1,0,20210522,20210703
T2-1807M,1,0,0,0,0,0,1,20210523,20210704
T2-1806Z,0,0,0,0,0,1,0,20210710,20210710
T2-180AS,1,1,0,1,0,0,0,20210712,20210715
T3-1017N,0,0,0,0,0,0,1,20210516,20210516
T3-100AN,1,1,1,1,1,0,0,20210517,20210625
T3-1106M,0,0,0,0,0,1,0,20210522,20210626
T3-1007M,1,0,1,0,0,0,1,20210523,20210714
T3-040AV,1,1,1,1,1,0,0,20210628,20210715
T3-0806Z,0,0,0,0,0,1,0,20210703,20210710
T5-0407M,1,0,0,0,0,0,1,20210516,20210704
T5-040AO,1,1,1,1,1,0,0,20210517,20210528
T5-0406O,0,0,0,0,0,1,0,20210522,20210529
T5-050AM,1,1,1,1,1,0,0,20210531,20210702
T5-0406M,0,0,0,0,0,1,0,20210605,20210703
T5-030AY,1,1,1,1,1,0,0,20210705,20210715
T5-0306Y,0,0,0,0,0,1,0,20210710,20210710
T5-0207Y,0,0,1,0,0,0,1,20210711,20210714
T1A-1007Z,0,0,1,0,0,0,1,20210516,20210714
T1A-080AV,1,1,1,1,1,0,0,20210517,20210709
T1A-0806M,0,0,0,0,0,1,0,20210522,20210626
T1A-0807M,1,0,0,0,0,0,1,20210523,20210704
T1A-080AW,0,0,1,0,0,0,0,20210526,20210526
T1A-0606V,0,0,0,0,0,1,0,20210605,20210703
T1A-0806Z,0,0,0,0,0,1,0,20210710,20210710
T1A-070AZ,1,1,0,1,0,0,0,20210712,20210715
T4A-0607Z,0,0,1,0,0,0,1,20210516,20210714
T4A-090AV,1,1,1,1,1,0,0,20210517,20210709
T4A-1006M,0,0,0,0,0,1,0,20210522,20210703
T4A-0907T,1,0,0,0,0,0,1,20210523,20210524
T4A-092AW,0,0,1,0,0,0,0,20210526,20210526
T4A-0907M,0,0,0,0,0,0,1,20210530,20210704
T4A-0806Z,0,0,0,0,0,1,0,20210710,20210710
T4A-070AZ,1,1,0,1,0,0,0,20210712,20210715
C1A-0347Q,0,0,0,0,0,0,1,20210516,20210516
C1A-035AT,1,1,1,1,1,0,0,20210517,20210702
C1A-0346T,0,0,0,0,0,1,0,20210522,20210710
C1A-0347T,1,0,1,0,0,0,1,20210523,20210714
C1A-034AW,1,1,1,1,1,0,0,20210705,20210709
C1A-034AI,1,1,0,1,0,0,0,20210712,20210715
C2A-0467Q,0,0,0,0,0,0,1,20210516,20210516
C2A-051AT,1,1,1,1,1,0,0,20210517,20210702
C2A-0436T,0,0,0,0,0,1,0,20210522,20210710
C2A-0437T,1,0,1,0,0,0,1,20210523,20210714
C2A-044AW,1,1,1,1,1,0,0,20210705,20210715
C3A-0607P,0,0,0,0,0,0,1,20210516,20210516
C3A-065AN,1,1,1,1,1,0,0,20210517,20210604
C3A-0506M,0,0,0,0,0,1,0,20210522,20210710
C3A-0577M,0,0,0,0,0,0,1,20210523,20210711
C3A-0587N,1,0,1,0,0,0,0,20210524,20210714
C3A-065AM,1,1,1,1,1,0,0,20210607,20210625
C3A-064AV,1,1,1,1,1,0,0,20210628,20210715
C4A-0277P,0,0,0,0,0,0,1,20210516,20210516
C4A-028AP,1,1,1,1,1,0,0,20210517,20210709
C4A-0256M,0,0,0,0,0,1,0,20210522,20210710
C4A-0267M,1,0,1,0,0,0,1,20210523,20210714
C4A-025AZ,1,1,0,1,0,0,0,20210712,20210715
C5A-0467Q,0,0,0,0,0,0,1,20210516,20210516
C5A-045AM,1,1,1,1,1,0,0,20210517,20210702
C5A-0446M,0,0,0,0,0,1,0,20210522,20210710
C5A-0447M,1,0,1,0,0,0,1,20210523,20210714
C5A-044AV,1,1,1,1,1,0,0,20210705,20210709
C5A-044AZ,1,1,0,1,0,0,0,20210712,20210715
C6C-0117T,1,0,1,0,0,0,1,20210516,20210714
C6C-014AAH,1,1,1,1,1,0,0,20210517,20210702
C6C-0126T,0,0,0,0,0,1,0,20210522,20210710
C6C-014AT,1,1,1,1,1,0,0,20210705,20210709
