service_id,date,exception_type
T2-1807Z,20210519,2
T2-1807Z,20210523,2
T2-1807Z,20210526,2
T2-1807Z,20210530,2
T2-1807Z,20210602,2
T2-1807Z,20210606,2
T2-1807Z,20210609,2
T2-1807Z,20210613,2
T2-1807Z,20210616,2
T2-1807Z,20210620,2
T2-1807Z,20210623,2
T2-1807Z,20210627,2
T2-1807Z,20210630,2
T2-1807Z,20210704,2
T2-1807Z,20210707,2
T2-190AV,20210524,2
T2-1807M,20210531,2
T2-1807M,20210607,2
T2-1807M,20210614,2
T2-1807M,20210621,2
T2-1807M,20210628,2
T3-100AN,20210524,2
T3-1007M,20210526,2
T3-1007M,20210531,2
T3-1007M,20210602,2
T3-1007M,20210607,2
T3-1007M,20210609,2
T3-1007M,20210614,2
T3-1007M,20210616,2
T3-1007M,20210621,2
T3-1007M,20210623,2
T3-1007M,20210628,2
T3-1007M,20210630,2
T3-1007M,20210705,2
T3-1007M,20210707,2
T3-1007M,20210712,2
T3-040AV,20210714,2
T5-0407M,20210517,2
T5-0407M,20210531,2
T5-0407M,20210607,2
T5-0407M,20210614,2
T5-0407M,20210621,2
T5-0407M,20210628,2
T5-040AO,20210524,2
T5-030AY,20210714,2
T1A-1007Z,20210519,2
T1A-1007Z,20210523,2
T1A-1007Z,20210526,2
T1A-1007Z,20210530,2
T1A-1007Z,20210602,2
T1A-1007Z,20210606,2
T1A-1007Z,20210609,2
T1A-1007Z,20210613,2
T1A-1007Z,20210616,2
T1A-1007Z,20210620,2
T1A-1007Z,20210623,2
T1A-1007Z,20210627,2
T1A-1007Z,20210630,2
T1A-1007Z,20210704,2
T1A-1007Z,20210707,2
T1A-080AV,20210524,2
T1A-080AV,20210526,2
T1A-0806M,20210605,2
T1A-0806M,20210612,2
T1A-0806M,20210619,2
T1A-0807M,20210531,2
T1A-0807M,20210607,2
T1A-0807M,20210614,2
T1A-0807M,20210621,2
T1A-0807M,20210628,2
T1A-0606V,20210626,2
T4A-0607Z,20210519,2
T4A-0607Z,20210523,2
T4A-0607Z,20210526,2
T4A-0607Z,20210530,2
T4A-0607Z,20210602,2
T4A-0607Z,20210606,2
T4A-0607Z,20210609,2
T4A-0607Z,20210613,2
T4A-0607Z,20210616,2
T4A-0607Z,20210620,2
T4A-0607Z,20210623,2
T4A-0607Z,20210627,2
T4A-0607Z,20210630,2
T4A-0607Z,20210704,2
