route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color
301Aa9,1,A,Perrache --> Vaulx-en-Velin La Soie,REG,1,E8308A
301Ar9,1,A,Vaulx-en-Velin La Soie --> Perrache,REG,1,E8308A
301Aa6,1,A,Perrache --> Vaulx-en-Velin La Soie,REG,1,E8308A
301Ar6,1,A,Vaulx-en-Velin La Soie --> Perrache,REG,1,E8308A
301Aa8,1,A,Perrache --> Vaulx-en-Velin La Soie,REG,1,E8308A
301Ar8,1,A,Vaulx-en-Velin La Soie --> Perrache,REG,1,E8308A
302Aa9,1,B,Charpennes --> Gare d'Oullins,REG,1,0075BF
302Ar9,1,B,Gare d'Oullins --> Charpennes,REG,1,0075BF
302Aa6,1,B,Charpennes --> Gare d'Oullins,REG,1,0075BF
302Ar6,1,B,Gare d'Oullins --> Charpennes,REG,1,0075BF
302Aa8,1,B,Charpennes --> Gare d'Oullins,REG,1,0075BF
302Ar8,1,B,Gare d'Oullins --> Charpennes,REG,1,0075BF
303a18,1,C,Hôtel de Ville L. Pradel --> Cuire,REG,1,F59C00
303r18,1,C,Cuire --> Hôtel de Ville L. Pradel,REG,1,F59C00
304a8,1,D,Gare de Vaise --> Gare de Vénissieux,REG,1,009E3D
304r8,1,D,Gare de Vénissieux --> Gare de Vaise,REG,1,009E3D
304a6,1,D,Gare de Vaise --> Gare de Vénissieux,REG,1,009E3D
304r6,1,D,Gare de Vénissieux --> Gare de Vaise,REG,1,009E3D
T1Aa27,1,T1,Debourg --> IUT Feyssine,REG,0,8C368C
T1Ar27,1,T1,IUT Feyssine --> Debourg,REG,0,8C368C
T1Aa28,1,T1,Debourg --> IUT Feyssine,REG,0,8C368C
T1Ar28,1,T1,IUT Feyssine --> Debourg,REG,0,8C368C
T2a80,1,T2,Hôtel Région Montrochet --> St Priest Bel Air,REG,0,8C368C
T2r80,1,T2,St Priest Bel Air --> Hôtel Région Montrochet,REG,0,8C368C
T3a47,1,T3,Gare Part-Dieu Villette --> Meyzieu les Panettes,REG,0,8C368C
T3r47,1,T3,Meyzieu les Panettes --> Gare Part-Dieu Villette,REG,0,8C368C
T4Aa20,1,T4,La Doua - Gaston Berger --> Hop. Feyzin Venissieux,REG,0,8C368C
T4Ar20,1,T4,Hop. Feyzin Venissieux --> La Doua - Gaston Berger,REG,0,8C368C
T4Aa23,1,T4,La Doua - Gaston Berger --> Hop. Feyzin Venissieux,REG,0,8C368C
T4Ar23,1,T4,Hop. Feyzin Venissieux --> La Doua - Gaston Berger,REG,0,8C368C
T5a13,1,T5,Grange Blanche --> Eurexpo Entrée Princ.,REG,0,8C368C
T5r13,1,T5,Eurexpo Entrée Princ. --> Grange Blanche,REG,0,8C368C
T6a4,1,T6,Debourg --> Hôpitaux Est - Pinel,REG,0,8C368C
T6r4,1,T6,Hôpitaux Est - Pinel --> Debourg,REG,0,8C368C
T7a1,1,T7,Vaulx-en-Velin La Soie --> Décines OL Vallée,REG,0,00FFFF
T7r1,1,T7,Décines OL Vallée --> Vaulx-en-Velin La Soie,REG,0,00FFFF
