from_stop_id,to_stop_id,transfer_type,min_transfer_time
32121,35659,2,180
32126,32127,2,120
32122,45884,2,240
32123,35659,2,180
32127,32126,2,120
32124,32125,2,120
32133,32132,2,120
32120,35659,2,180
32123,45848,2,240
32134,32135,2,120
32135,32134,2,120
32122,45848,2,240
32130,32131,2,120
32123,32122,2,120
32132,32133,2,120
32122,35659,2,180
32123,45884,2,240
32129,32128,2,120
32122,32123,2,120
32131,32130,2,120
32128,32129,2,120
32125,32124,2,120
32172,32173,2,120
32173,32172,2,120
32167,32166,2,120
32174,32175,2,120
32166,32167,2,120
32164,32165,2,120
32156,45271,2,60
32163,32162,2,120
32171,32170,2,120
32168,32169,2,120
32162,32163,2,120
32157,45270,2,60
32160,32161,2,120
32161,32160,2,120
32165,32164,2,120
32175,32174,2,120
32170,32171,2,120
32159,32158,2,120
32169,32168,2,120
32158,32159,2,120
32147,32146,2,120
32102,32103,2,60
34835,34834,2,60
32153,32152,2,120
32110,32111,2,120
32117,32116,2,120
32120,45883,2,180
32144,32145,2,120
32146,32147,2,120
32150,32151,2,120
32154,32155,2,120
32155,32154,2,120
32104,32105,2,120
34836,34837,2,60
32121,32120,2,60
32108,32109,2,120
32120,32121,2,60
32141,32140,2,120
32140,32141,2,120
32106,32107,2,120
32111,32110,2,120
32143,32142,2,120
32115,32114,2,120
32122,45883,2,180
34834,34835,2,60
32152,32153,2,120
32114,32115,2,120
32148,39454,2,180
32121,45883,2,180
32151,32150,2,120
34837,34836,2,60
32145,32144,2,120
32123,45883,2,180
32113,32112,2,120
32119,32118,2,120
32148,32149,2,120
32149,39454,2,180
32105,32104,2,120
32107,32106,2,120
32142,32143,2,120
32103,32102,2,60
32149,32148,2,120
32112,32113,2,120
32116,32117,2,120
32118,32119,2,120
32109,32108,2,120
32149,39455,2,180
32148,39455,2,180
32128,42558,2,180
32129,42558,2,180
32126,435,2,300
32127,434,2,300
32121,45801,2,180
32120,35834,2,360
32129,42557,2,180
32128,42557,2,180
32127,435,2,300
32121,35834,2,240
